type,metadata_name,metadata_description,enum_fields
parent_agreement_name,filename of the master agreement the amendment is amending,
amendment_effective_date,"the effective date of the amendment document, not the master agreement (if available )",
amendment_expiry_date,"the expiry date of the amendment document, not the master agreement (if available )",
renewal_notice_period_days,the amendment renewal notice period in days (if available ),
estimated_contract_aggregate_value,amendment contract value (if available),
payment_term,"if the document amends the original payment term of the master agreement, this is the new payment term",
amendment_number,"some master agreements have multiple amendments. this is the number pertaining to the order (for example, if there are 5 amendments, and this document is the 3rd, then the amendment number is 3)",
agreement_counterparty_term,how is the counterparty described in the main agreement?,"Consultant, Supplier, Seller, Contractor, Company"
amendment_details,"what is being amended from the master agreement (expiry date, payment term, rates, clauses, etc.)",
